R_fighter,B_fighter,date,location,Winner,title_bout,weight_class,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO_TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO_TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Adrian Yanez,Gustavo Lopez,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,0,1,1,1,0,0,0,0,0,1,0,Orthodox,165.1,170.18,135,0,1,0,1,0,0,0,0,0,1,0,0,Orthodox,170.18,177.8,135,31,27
Trevin Giles,Roman Dolidze,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Middleweight,0,2,0,2,0,0,0,1,0,1,0,0,Orthodox,187.96,193.04,205,0,2,0,4,2,0,0,1,0,3,0,0,Orthodox,182.88,187.96,185,32,28
Tai Tuivasa,Harry Hunsucker,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Heavyweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,241,0,3,0,4,3,0,0,0,1,3,0,0,Southpaw,187.96,190.5,264,32,28
Cheyanne Buys,Montserrat Conejo,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,WomenStrawweight,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,152.4,154.94,115,0,0,0,0,0,0,0,0,0,0,0,0,Switch,160.02,160.02,115,28,25
Marion Reneau,Macy Chiasson,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,WomenBantamweight,1,3,0,4,1,0,0,0,1,2,1,0,Orthodox,180.34,182.88,135,0,2,0,5,6,0,0,0,1,2,2,0,Orthodox,167.64000000000001,172.72,135,29,43
Leonardo Santos,Grant Dawson,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,Lightweight,0,4,0,4,0,0,0,0,2,0,2,0,Switch,177.8,182.88,145,1,1,0,7,1,0,0,1,2,2,2,0,Orthodox,182.88,190.5,155,27,41
Song Kenan,Max Griffin,2021-03-20,"Las Vegas, Nevada, USA",Blue,0,Welterweight,0,0,1,4,6,0,1,0,1,2,0,0,Orthodox,180.34,193.04,170,0,2,0,4,1,0,0,0,1,3,0,0,Orthodox,182.88,180.34,170,35,31
Derek Brunson,Kevin Holland,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Middleweight,0,0,1,8,2,0,0,2,1,3,2,0,Orthodox,190.5,205.74,185,0,2,0,12,5,0,0,0,4,7,1,0,Southpaw,185.42,195.58,185,28,37
Montel Jackson,Jesse Strader,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,0,0,1,3,2,0,0,0,2,0,1,0,Southpaw,177.8,190.5,135,29,28
Bruno Silva,JP Buys,2021-03-20,"Las Vegas, Nevada, USA",Red,0,Flyweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125,0,0,3,0,3,0,0,0,0,0,0,0,,182.88,,185,24,31
Manel Kape,Matheus Nicolau,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,Flyweight,0,3,0,3,1,0,0,1,1,0,1,0,Orthodox,167.64000000000001,167.64000000000001,125,0,0,1,0,1,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,28,27
Misha Cirkunov,Ryan Spann,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,LightHeavyweight,0,4,0,4,1,0,0,1,1,1,1,0,Orthodox,195.57999999999998,200.66,205,0,4,0,6,3,0,0,0,0,1,5,0,Orthodox,190.5,195.58,205,29,34
Leon Edwards,Belal Muhammad,2021-03-13,"Las Vegas, Nevada, USA",Draw,0,Welterweight,0,0,1,9,3,0,0,1,6,1,1,0,Orthodox,180.34,182.88,170,0,0,1,10,2,0,0,1,6,2,1,0,Southpaw,187.96,187.96,170,32,29
Charles Jourdain,Marcelo Rojo,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,145,0,0,1,1,3,0,0,0,0,1,0,0,Switch,175.26,175.26,145,32,25
Eryk Anders,Darren Stewart,2021-03-13,"Las Vegas, Nevada, USA",Draw,0,Middleweight,0,0,4,5,6,0,0,1,1,2,1,0,Orthodox,182.88,187.96,185,0,2,0,5,5,0,0,1,1,3,0,0,Southpaw,185.42,190.5,185,30,33
Angela Hill,Ashley Yoder,2021-03-13,"Las Vegas, Nevada, USA",Red,0,WomenStrawweight,0,0,3,3,5,0,0,1,2,0,0,0,Southpaw,170.18,175.26,115,0,1,0,7,9,0,0,0,5,1,0,1,Orthodox,160.02,162.56,115,33,36
Jonathan Martinez,Davey Grant,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,1,0,1,3,3,0,0,1,1,1,0,0,Orthodox,172.72,175.26,135,0,0,1,4,2,0,0,0,2,2,0,0,Southpaw,172.72,177.8,135,35,26
Dan Ige,Gavin Tucker,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,1,0,4,1,0,0,0,2,0,2,0,Southpaw,167.64000000000001,167.64000000000001,145,0,0,1,6,2,0,0,2,2,1,1,0,Orthodox,170.18,180.34,145,34,29
Nasrat Haqparast,Rafa Garcia,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Lightweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,155,0,0,1,4,2,0,0,0,3,1,0,0,Southpaw,177.8,182.88,155,26,25
Cortney Casey,JJ Aldrich,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,WomenFlyweight,0,0,1,4,3,0,0,0,4,0,0,0,Southpaw,165.1,170.18,125,0,0,2,5,7,0,0,1,1,1,2,0,Orthodox,170.18,170.18,125,28,33
Matthew Semelsberger,Jason Witt,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Welterweight,0,0,1,1,1,0,0,0,0,0,1,0,Orthodox,177.8,177.8,170,0,1,0,1,0,0,0,0,1,0,0,0,Switch,185.42,190.5,170,34,28
Rani Yahya,Ray Rodriguez,2021-03-13,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,0,1,0,11,6,0,0,1,4,0,6,0,Orthodox,167.64000000000001,170.18,135,33,36
Gloria de Paula,Jinh Yu Frey,2021-03-13,"Las Vegas, Nevada, USA",Blue,0,WomenStrawweight,0,0,2,0,2,0,0,0,0,0,0,0,Southpaw,160.02,165.1,115,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,115,35,25
Dominick Cruz,Casey Kenney,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,2,0,5,1,0,0,0,4,0,1,0,Southpaw,170.18,172.72,140,6,5,0,5,2,0,0,1,3,1,0,0,Orthodox,172.72,172.72,135,29,35
Song Yadong,Kyler Phillips,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,0,2,0,2,0,0,0,0,1,1,0,0,Orthodox,172.72,182.88,135,0,4,0,5,1,0,0,0,2,2,1,0,Orthodox,172.72,170.18,145,25,23
Petr Yan,Aljamain Sterling,2021-03-06,"Las Vegas, Nevada, USA",Blue,1,Bantamweight,0,4,0,11,3,0,0,0,6,1,4,0,Orthodox,170.18,180.34,135,1,7,0,7,0,0,0,0,3,4,0,0,Switch,170.18,170.18,135,31,28
Jan Blachowicz,Israel Adesanya,2021-03-06,"Las Vegas, Nevada, USA",Red,1,LightHeavyweight,4,9,0,9,0,0,0,1,4,4,0,0,Switch,193.04,203.2,185,1,1,0,10,5,0,0,1,3,4,2,0,Orthodox,187.96,198.12,205,31,38
Thiago Santos,Aleksandar Rakic,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,LightHeavyweight,0,4,0,5,1,0,0,0,3,2,0,0,Orthodox,193.04,198.12,205,1,0,1,13,7,0,0,0,2,11,0,0,Orthodox,187.96,193.04,205,29,37
Joseph Benavidez,Askar Askarov,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Flyweight,0,0,1,2,1,0,0,0,2,0,0,0,Orthodox,167.64000000000001,170.18,125,3,3,0,15,5,0,0,1,8,5,1,0,Southpaw,162.56,165.1,125,28,36
Amanda Nunes,Megan Anderson,2021-03-06,"Las Vegas, Nevada, USA",Red,1,WomenFeatherweight,0,0,1,3,2,0,0,0,0,2,1,0,Orthodox,182.88,182.88,145,8,2,0,13,1,0,0,1,3,7,2,0,Orthodox,172.72,175.26,145,31,32
Islam Makhachev,Drew Dober,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Lightweight,0,0,2,9,6,0,0,0,3,5,1,0,Southpaw,172.72,177.8,155,0,1,0,7,1,0,0,0,4,1,2,0,Southpaw,177.8,177.8,155,32,29
Tim Elliott,Jordan Espinosa,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Flyweight,0,1,0,2,3,0,0,0,2,0,0,0,Orthodox,167.64000000000001,175.26,125,1,0,1,5,9,0,0,0,4,0,1,0,Southpaw,170.18,167.64000000000001,125,31,34
Livinha Souza,Amanda Lemos,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,WomenStrawweight,0,0,1,2,1,0,0,0,1,0,1,0,Southpaw,162.56,165.1,115,0,2,0,3,1,0,0,1,1,0,1,0,Orthodox,160.02,160.02,115,33,29
Rogerio Bontorin,Kai Kara-France,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Flyweight,0,3,0,4,2,0,0,1,3,0,0,0,Orthodox,162.56,175.26,125,0,2,0,2,1,0,0,1,0,0,0,1,Orthodox,165.1,170.18,125,27,28
Uros Medic,Aalon Cruz,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Lightweight,0,0,1,0,1,0,0,0,0,0,0,0,Switch,182.88,198.12,145,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,180.34,155,31,27
Kennedy Nzechukwu,Carlos Ulberg,2021-03-06,"Las Vegas, Nevada, USA",Red,0,LightHeavyweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,195.58,205,0,0,1,1,1,0,0,0,1,0,0,0,Southpaw,195.57999999999998,210.82,205,30,28
Sean Brady,Jake Matthews,2021-03-06,"Las Vegas, Nevada, USA",Red,0,Welterweight,0,2,0,10,4,0,0,1,4,0,4,1,Orthodox,180.34,185.42000000000002,170,0,3,0,3,0,0,0,0,2,0,1,0,Orthodox,177.8,182.88,170,26,28
Mario Bautista,Trevin Jones,2021-03-06,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,0,0,1,0,1,0,0,0,0,0,0,0,Southpaw,170.18,177.8,140,0,0,1,2,1,0,0,0,1,1,0,0,Switch,175.26,175.26,135,30,27
Jairzinho Rozenstruik,Ciryl Gane,2021-02-27,"Las Vegas, Nevada, USA",Blue,0,Heavyweight,0,4,0,4,0,0,0,0,1,1,2,0,Orthodox,193.04,205.74,245,0,4,0,5,1,0,0,0,0,5,0,0,Orthodox,193.04,198.12,242,30,32
Montana De La Rosa,Mayra Bueno Silva,2021-02-27,"Las Vegas, Nevada, USA",Draw,0,WomenFlyweight,0,1,0,2,1,0,0,0,0,0,2,0,Orthodox,167.64000000000001,167.64000000000001,135,0,3,0,4,2,0,0,0,1,0,3,0,Orthodox,170.18,172.72,125,29,26
Vince Cachero,Ronnie Lawrence,2021-02-27,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,0,0,0,0,0,0,0,0,0,0,0,0,Switch,172.72,172.72,135,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,167.64000000000001,172.72,145,28,31
Alexander Hernandez,Thiago Moises,2021-02-27,"Las Vegas, Nevada, USA",Blue,0,Lightweight,0,0,1,3,2,0,0,0,2,0,1,0,Orthodox,175.26,177.8,155,0,2,0,4,2,0,0,0,2,2,0,0,Orthodox,175.26,182.88,155,25,28
Pedro Munhoz,Jimmie Rivera,2021-02-27,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,5,0,7,3,0,0,1,5,1,0,0,Orthodox,162.56,172.72,135,0,0,1,8,6,0,0,0,2,3,3,0,Orthodox,167.64000000000001,165.1,135,31,34
Alex Caceres,Kevin Croom,2021-02-27,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,180.34,185.42000000000002,155,0,0,2,12,11,0,0,3,5,0,3,1,Southpaw,177.8,185.42000000000002,145,33,32
Alexis Davis,Sabina Mazo,2021-02-27,"Las Vegas, Nevada, USA",Red,0,WomenBantamweight,0,0,1,3,1,0,0,1,1,0,1,0,Orthodox,170.18,177.8,135,1,3,0,6,5,0,0,2,3,0,1,0,Orthodox,167.64000000000001,172.72,135,23,36
Nikita Krylov,Magomed Ankalaev,2021-02-27,"Las Vegas, Nevada, USA",Blue,0,LightHeavyweight,0,0,1,5,1,0,0,0,1,4,0,0,Orthodox,190.5,190.5,205,0,0,1,8,5,0,0,0,1,3,4,0,Orthodox,190.5,195.58,205,28,28
Dustin Jacoby,Maxim Grishin,2021-02-27,"Las Vegas, Nevada, USA",Red,0,LightHeavyweight,0,0,1,1,1,0,0,0,0,1,0,0,Orthodox,190.5,198.12,220,0,0,2,1,2,0,0,0,0,1,0,0,Orthodox,190.5,193.04,205,36,32
Aleksei Oleinik,Chris Daukaus,2021-02-20,"Las Vegas, Nevada, USA",Blue,0,Heavyweight,0,2,0,2,0,0,0,0,0,2,0,0,Orthodox,190.5,193.04,250,0,2,0,8,5,0,0,1,0,1,6,0,Orthodox,187.96,203.2,240,31,43
Charles Rosa,Darrick Minner,2021-02-20,"Las Vegas, Nevada, USA",Blue,0,Featherweight,0,0,1,1,1,0,0,0,0,0,1,0,Orthodox,170.18,175.26,145,0,0,1,4,4,0,0,1,1,0,2,0,Switch,175.26,175.26,145,30,34
Phil Hawes,Nassourdine Imavov,2021-02-20,"Las Vegas, Nevada, USA",Red,0,Middleweight,0,1,0,1,0,0,0,0,1,0,0,0,Orthodox,190.5,190.5,185,0,1,0,1,0,0,0,0,0,1,0,0,Orthodox,182.88,195.58,185,25,32
Curtis Blaydes,Derrick Lewis,2021-02-20,"Las Vegas, Nevada, USA",Blue,0,Heavyweight,1,2,0,15,5,0,0,2,2,11,0,0,Orthodox,190.5,200.66,260,0,0,1,9,3,0,0,0,4,4,0,1,Orthodox,193.04,203.2,265,36,30
Eddie Wineland,John Castaneda,2021-02-20,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,0,0,1,0,1,0,0,0,0,0,0,0,Switch,167.64000000000001,180.34,135,1,0,2,6,8,0,0,1,0,5,0,0,Orthodox,170.18,175.26,135,29,36
Andrei Arlovski,Tom Aspinall,2021-02-20,"Las Vegas, Nevada, USA",Blue,0,Heavyweight,0,2,0,2,0,0,0,0,0,2,0,0,Orthodox,195.57999999999998,198.12,256,5,1,0,19,14,0,0,1,7,9,2,0,Orthodox,190.5,195.58,240,27,42
Jared Gordon,Danny Chavez,2021-02-20,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,1,0,1,0,0,0,0,1,0,0,0,Orthodox,172.72,170.18,145,0,2,0,4,3,0,0,0,3,1,0,0,Orthodox,175.26,172.72,145,33,32
Ketlen Vieira,Yana Kunitskaya,2021-02-20,"Las Vegas, Nevada, USA",Blue,0,WomenBantamweight,1,0,1,3,2,0,0,0,3,0,0,0,Orthodox,167.64000000000001,172.72,135,0,4,0,5,1,0,0,2,2,0,1,0,Orthodox,172.72,172.72,135,31,29
Aiemann Zahabi,Drako Rodriguez,2021-02-20,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,135,0,1,0,1,2,0,0,0,1,0,0,0,Orthodox,172.72,172.72,135,24,33
Serghei Spivac,Jared Vanderaa,2021-02-20,"Las Vegas, Nevada, USA",Red,0,Heavyweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,203.2,260,0,0,1,2,2,0,1,0,0,0,1,0,Orthodox,190.5,198.12,260,28,26
Nate Landwehr,Julian Erosa,2021-02-20,"Las Vegas, Nevada, USA",Blue,0,Featherweight,0,1,0,2,4,0,0,1,0,0,1,0,Southpaw,185.42,187.96,145,0,0,1,1,1,0,0,0,1,0,0,0,Orthodox,175.26,182.88,145,31,32
Shana Dobson,Casey O'Neill,2021-02-20,"Las Vegas, Nevada, USA",Blue,0,WomenFlyweight,0,0,0,0,0,0,0,0,0,0,0,0,,167.64000000000001,175.26,125,0,1,0,2,3,0,0,0,0,2,0,0,Orthodox,167.64000000000001,175.26,125,23,31
Maycee Barber,Alexa Grasso,2021-02-13,"Las Vegas, Nevada, USA",Blue,0,WomenFlyweight,0,1,0,4,3,0,0,1,3,0,0,0,Orthodox,165.1,167.64000000000001,125,0,3,0,3,1,0,0,0,0,3,0,0,Switch,165.1,165.1,125,27,22
Belal Muhammad,Dhiego Lima,2021-02-13,"Las Vegas, Nevada, USA",Red,0,Welterweight,2,0,1,4,5,0,0,2,1,1,0,0,Orthodox,187.96,190.5,170,0,0,1,8,3,0,0,1,5,1,1,0,Orthodox,180.34,182.88,170,32,32
Maki Pitolo,Julian Marquez,2021-02-13,"Las Vegas, Nevada, USA",Blue,0,Middleweight,0,1,0,1,1,0,0,0,0,0,1,0,Orthodox,187.96,182.88,185,0,0,1,1,3,0,0,0,0,1,0,0,Orthodox,177.8,190.5,185,30,30
Kamaru Usman,Gilbert Burns,2021-02-13,"Las Vegas, Nevada, USA",Red,1,Welterweight,0,3,0,12,3,0,0,0,5,3,4,0,Orthodox,177.8,180.34,170,4,12,0,12,0,0,0,0,9,2,1,0,Switch,182.88,193.04,170,34,33
Ricky Simon,Brian Kelleher,2021-02-13,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,1,0,6,4,0,0,0,1,2,3,0,Switch,167.64000000000001,167.64000000000001,145,0,3,0,5,2,0,0,1,2,1,1,0,Orthodox,167.64000000000001,175.26,135,34,28
Kelvin Gastelum,Ian Heinisch,2021-02-13,"Las Vegas, Nevada, USA",Red,0,Middleweight,0,2,0,3,2,0,0,0,2,1,0,0,Orthodox,180.34,182.88,185,2,5,0,10,7,0,0,3,2,3,2,0,Southpaw,175.26,180.34,185,32,29
Polyana Viana,Mallory Martin,2021-02-13,"Las Vegas, Nevada, USA",Red,0,WomenStrawweight,0,0,1,1,1,0,0,0,0,0,1,0,Orthodox,162.56,160.02,115,0,1,0,2,3,0,0,0,0,0,2,0,Orthodox,165.1,170.18,115,27,28
Rodolfo Vieira,Anthony Hernandez,2021-02-13,"Las Vegas, Nevada, USA",Blue,0,Middleweight,0,0,1,1,2,0,0,0,0,0,1,0,Orthodox,182.88,190.5,185,0,2,0,2,0,0,0,0,0,0,2,0,Orthodox,182.88,185.42000000000002,185,27,31
Gabe Green,Philip Rowe,2021-02-13,"Las Vegas, Nevada, USA",Red,0,Welterweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,203.2,170,0,0,1,0,1,0,0,0,0,0,0,0,Switch,177.8,185.42000000000002,170,30,27
Andre Ewell,Chris Gutierrez,2021-02-13,"Las Vegas, Nevada, USA",Blue,0,CatchWeight,0,0,1,3,2,0,0,1,1,1,0,0,Orthodox,175.26,170.18,145,0,1,0,4,2,0,0,3,1,0,0,0,Southpaw,172.72,190.5,135,29,33
Alexandre Pantoja,Manel Kape,2021-02-06,"Las Vegas, Nevada, USA",Red,0,Flyweight,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,0,2,0,6,3,0,0,1,1,2,2,0,Orthodox,165.1,170.18,125,27,30
Karol Rosa,Joselyne Edwards,2021-02-06,"Las Vegas, Nevada, USA",Red,0,WomenBantamweight,0,1,0,1,0,0,0,0,1,0,0,0,Orthodox,172.72,177.8,135,0,2,0,2,0,0,0,1,1,0,0,0,Orthodox,165.1,170.18,135,25,26
Devonte Smith,Justin Jaynes,2021-02-06,"Las Vegas, Nevada, USA",Red,0,CatchWeight,0,1,0,1,2,0,0,0,0,1,0,0,Orthodox,170.18,172.72,155,0,2,0,2,1,0,0,0,0,2,0,0,Orthodox,175.26,193.04,155,31,27
Michael Johnson,Clay Guida,2021-02-06,"Las Vegas, Nevada, USA",Blue,0,Lightweight,0,1,0,15,14,0,0,3,6,2,4,0,Orthodox,170.18,177.8,155,1,0,1,11,12,0,0,1,6,4,0,0,Southpaw,177.8,185.42000000000002,155,39,34
Alistair Overeem,Alexander Volkov,2021-02-06,"Las Vegas, Nevada, USA",Blue,0,Heavyweight,0,4,0,6,2,0,0,1,2,3,0,0,Orthodox,200.66,203.2,250,1,1,0,12,7,0,1,0,2,9,0,0,Orthodox,193.04,203.2,265,32,40
Diego Ferreira,Beneil Dariush,2021-02-06,"Las Vegas, Nevada, USA",Blue,0,Lightweight,0,1,0,13,5,0,0,1,4,3,5,0,Southpaw,177.8,182.88,155,0,2,0,8,2,0,0,0,3,3,2,0,Orthodox,175.26,187.96,155,31,36
Cory Sandhagen,Frankie Edgar,2021-02-06,"Las Vegas, Nevada, USA",Red,0,Bantamweight,9,3,0,18,9,0,0,1,10,4,2,1,Orthodox,167.64000000000001,172.72,135,0,5,0,6,1,0,0,1,1,3,1,0,Switch,180.34,177.8,135,39,28
Mike Rodriguez,Danilo Marques,2021-02-06,"Las Vegas, Nevada, USA",Blue,0,LightHeavyweight,0,1,0,1,0,0,0,0,1,0,0,0,Orthodox,198.12,195.58,205,0,0,1,2,4,0,0,0,0,2,0,0,Southpaw,193.04,208.28,205,35,32
Ode Osbourne,Jerome Rivera,2021-02-06,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,0,2,0,2,0,0,0,0,0,0,0,Southpaw,177.8,182.88,145,0,0,1,0,1,0,0,0,0,0,0,0,Southpaw,170.18,185.42000000000002,145,25,29
SeungWoo Choi,Youssef Zalal,2021-02-06,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,3,0,3,1,0,0,0,3,0,0,0,Switch,177.8,182.88,145,0,0,2,1,2,0,0,0,1,0,0,0,Orthodox,182.88,187.96,145,24,28
Molly McCann,Lara Procopio,2021-02-06,"Las Vegas, Nevada, USA",Blue,0,WomenFlyweight,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,162.56,170.18,125,0,0,1,3,2,0,0,0,3,0,0,0,Orthodox,162.56,157.48,125,25,30
Timur Valiev,Martin Day,2021-02-06,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,0,3,0,3,0,0,0,0,0,0,0,Orthodox,177.8,185.42000000000002,145,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,167.64000000000001,170.18,145,32,31
Dan Hooker,Michael Chandler,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,0,Lightweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,155,0,1,0,10,5,0,0,1,1,6,2,0,Switch,182.88,190.5,155,34,30
Andrew Sanchez,Makhmud Muradov,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,0,Middleweight,0,2,0,2,0,0,0,0,1,1,0,0,Orthodox,187.96,190.5,185,1,2,0,5,3,0,0,0,4,1,0,0,Orthodox,185.42,187.96,185,30,32
Julianna Pena,Sara McMann,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,WomenBantamweight,1,1,0,6,5,0,0,1,2,1,2,0,Orthodox,167.64000000000001,167.64000000000001,135,1,4,0,5,2,0,0,0,3,2,0,0,Orthodox,167.64000000000001,175.26,135,40,31
Jessica Eye,Joanne Calderwood,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,0,WomenFlyweight,0,1,0,6,5,0,0,1,3,1,1,0,Orthodox,167.64000000000001,165.1,125,1,0,2,5,8,0,0,2,2,0,0,1,Orthodox,167.64000000000001,167.64000000000001,125,35,34
Dustin Poirier,Conor McGregor,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,Lightweight,4,7,0,10,2,0,1,0,1,8,0,0,Southpaw,175.26,187.96,155,2,4,0,18,6,0,1,0,6,8,3,0,Southpaw,175.26,182.88,155,32,32
Brad Tavares,Antonio Carlos Junior,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,Middleweight,1,1,0,7,5,0,0,0,2,0,5,0,Orthodox,187.96,200.66,185,0,2,0,12,6,0,0,2,8,2,0,0,Orthodox,185.42,187.96,185,30,33
Arman Tsarukyan,Matt Frevola,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,Lightweight,0,0,2,2,2,0,0,1,1,0,0,0,Orthodox,175.26,180.34,155,0,0,1,2,1,0,0,0,2,0,0,0,Orthodox,170.18,182.88,155,30,24
Marina Rodriguez,Amanda Ribas,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,WomenStrawweight,0,4,0,4,0,0,0,0,2,0,2,0,Orthodox,160.02,167.64000000000001,125,0,0,1,2,3,0,0,0,2,0,0,0,Orthodox,167.64000000000001,165.1,115,27,33
Amir Albazi,Zhalgas Zhumagulov,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,Flyweight,0,0,1,0,1,0,0,0,0,0,0,0,Switch,162.56,167.64000000000001,125,0,1,0,1,0,0,0,0,0,0,1,0,Orthodox,165.1,172.72,125,32,27
Khalil Rountree Jr.,Marcin Prachnio,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,0,LightHeavyweight,0,0,3,0,3,0,0,0,0,0,0,0,Orthodox,190.5,187.96,205,1,0,2,4,5,0,0,0,1,3,0,0,Southpaw,185.42,193.04,205,32,30
Nik Lentz,Movsar Evloev,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,0,CatchWeight,0,3,0,3,0,0,0,0,3,0,0,0,Orthodox,170.18,182.88,145,0,1,0,14,10,0,0,2,7,3,2,0,Orthodox,172.72,172.72,145,26,36
Ricky Simon,Gaetano Pirrello,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,Bantamweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,,135,0,3,0,4,2,0,0,1,2,1,0,0,Orthodox,167.64000000000001,175.26,135,28,28
Omari Akhmedov,Tom Breese,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,Middleweight,0,3,0,5,2,0,0,0,1,4,0,0,Southpaw,190.5,185.42000000000002,185,0,1,0,8,5,0,0,1,5,2,0,0,Orthodox,182.88,185.42000000000002,185,29,33
Warlley Alves,Mounir Lazzez,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,Welterweight,0,1,0,1,0,0,0,0,1,0,0,0,Orthodox,185.42,193.04,170,1,4,0,7,4,0,0,0,2,1,3,1,Orthodox,180.34,182.88,170,33,30
Matt Schnell,Tyson Nam,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,0,Flyweight,0,0,2,2,2,0,0,0,0,2,0,0,Orthodox,170.18,172.72,125,0,0,2,4,3,0,0,1,1,0,2,0,Orthodox,172.72,177.8,125,37,31
